Team,Successful Chases
Kolkata Knight Riders,76
Mumbai Indians,71
Rajasthan Royals,67
Chennai Super Kings,67
Delhi Capitals,66
Royal Challengers Bengaluru,64
Punjab Kings,58
Sunrisers Hyderabad,43
Gujarat Titans,17
Gujarat Lions,12
Deccan Chargers,11
Rising Pune Supergiant,8
Lucknow Super Giants,8
Pune Warriors,6
Kochi Tuskers Kerala,4
